ID,name,score1,score2
148,Student_148,50,56
149,Student_149,78,73
150,Student_150,89,91
151,Student_151,75,98
152,Student_152,52,53
153,Student_153,98,79
154,Student_154,79,62
155,Student_155,97,100
156,Student_156,62,63
157,Student_157,66,100
158,Student_158,71,59
159,Student_159,80,86
160,Student_160,52,69
161,Student_161,77,74
162,Student_162,92,60
163,Student_163,84,50
164,Student_164,87,65
165,Student_165,87,97
166,Student_166,57,54
167,Student_167,71,65
168,Student_168,76,74
169,Student_169,89,63
170,Student_170,60,78
171,Student_171,67,72
172,Student_172,74,88
173,Student_173,53,75
174,Student_174,66,97
175,Student_175,56,51
176,Student_176,83,91
177,Student_177,70,66
178,Student_178,77,68
179,Student_179,65,85
180,Student_180,95,58
181,Student_181,56,63
182,Student_182,69,74
183,Student_183,79,61
184,Student_184,68,88
185,Student_185,54,74
186,Student_186,65,94
187,Student_187,86,97
188,Student_188,94,84
189,Student_189,92,77
190,Student_190,81,76
191,Student_191,69,79
192,Student_192,61,77
193,Student_193,76,70
194,Student_194,76,64
195,Student_195,74,74
196,Student_196,77,83
197,Student_197,50,91
198,Student_198,94,87
199,Student_199,100,93
200,Student_200,83,80
201,Student_201,52,67
202,Student_202,99,50
203,Student_203,94,92
204,Student_204,98,55
205,Student_205,99,66
206,Student_206,91,73
207,Student_207,80,66
208,Student_208,88,56
209,Student_209,82,91
210,Student_210,70,90
211,Student_211,65,83
212,Student_212,84,53
213,Student_213,77,59
214,Student_214,74,68
215,Student_215,75,54
216,Student_216,93,67
217,Student_217,82,69
218,Student_218,87,70
219,Student_219,94,83
220,Student_220,83,74
221,Student_221,56,86
222,Student_222,89,94
223,Student_223,62,81
224,Student_224,51,74
225,Student_225,75,96
226,Student_226,90,91
227,Student_227,82,50
228,Student_228,75,52
229,Student_229,74,93
230,Student_230,86,74
231,Student_231,70,95
232,Student_232,93,91
233,Student_233,60,62
234,Student_234,67,57
235,Student_235,89,54
236,Student_236,80,63
237,Student_237,54,76
238,Student_238,56,99
239,Student_239,78,65
240,Student_240,59,68
241,Student_241,99,54
242,Student_242,52,53
243,Student_243,90,59
244,Student_244,70,67
245,Student_245,55,82
246,Student_246,80,86
247,Student_247,98,68
248,Student_248,54,65
249,Student_249,94,91
250,Student_250,57,57
251,Student_251,98,82
252,Student_252,54,92
253,Student_253,58,91
254,Student_254,88,55
255,Student_255,93,87
256,Student_256,94,56
257,Student_257,97,94
258,Student_258,65,56
259,Student_259,92,63
260,Student_260,99,55
261,Student_261,66,53
262,Student_262,81,58
263,Student_263,70,83
264,Student_264,83,50
265,Student_265,63,58
266,Student_266,73,81
267,Student_267,70,76
268,Student_268,71,84
269,Student_269,64,64
270,Student_270,67,68
271,Student_271,91,91
272,Student_272,81,54
273,Student_273,51,53
274,Student_274,61,63
275,Student_275,83,57
276,Student_276,83,85
277,Student_277,55,69
278,Student_278,73,92
279,Student_279,60,76
280,Student_280,83,81
281,Student_281,81,92
282,Student_282,55,80
283,Student_283,83,79
284,Student_284,89,81
285,Student_285,60,68
286,Student_286,59,76
287,Student_287,92,56
288,Student_288,59,57
289,Student_289,65,92
290,Student_290,88,100
291,Student_291,97,50
292,Student_292,86,69
293,Student_293,94,76
294,Student_294,85,65
295,Student_295,68,91
296,Student_296,78,84
297,Student_297,57,50
298,Student_298,63,76
299,Student_299,72,74
300,Student_300,95,82
301,Student_301,60,61
302,Student_302,74,51
303,Student_303,83,57
304,Student_304,61,97
305,Student_305,77,76
306,Student_306,59,59
307,Student_307,92,96
308,Student_308,54,85
309,Student_309,66,98
310,Student_310,72,71
311,Student_311,97,58
312,Student_312,91,80
313,Student_313,100,61
314,Student_314,74,64
315,Student_315,56,80
316,Student_316,51,78
317,Student_317,64,63
318,Student_318,84,59
319,Student_319,85,61
320,Student_320,95,92
321,Student_321,100,83
322,Student_322,100,72
323,Student_323,67,51
324,Student_324,75,87
325,Student_325,97,91
326,Student_326,62,70
327,Student_327,80,89
328,Student_328,62,79
329,Student_329,70,57
330,Student_330,58,70
331,Student_331,55,97
332,Student_332,56,85
333,Student_333,100,81
334,Student_334,82,59
335,Student_335,100,60
336,Student_336,88,53
337,Student_337,63,56
338,Student_338,88,51
339,Student_339,87,50
340,Student_340,78,85
341,Student_341,93,82
342,Student_342,60,73
343,Student_343,74,89
344,Student_344,54,100
345,Student_345,57,67
346,Student_346,75,88
347,Student_347,73,65
348,Student_348,73,95
349,Student_349,99,89
350,Student_350,93,93
351,Student_351,67,61
352,Student_352,94,100
353,Student_353,92,55
354,Student_354,93,89
355,Student_355,53,57
356,Student_356,58,56
357,Student_357,80,83
358,Student_358,75,87
359,Student_359,86,95
360,Student_360,79,54
361,Student_361,84,98
362,Student_362,91,91
363,Student_363,84,73
364,Student_364,87,75
365,Student_365,68,62
366,Student_366,50,99
367,Student_367,59,89
368,Student_368,69,92
369,Student_369,78,84
370,Student_370,64,96
371,Student_371,73,62
372,Student_372,64,52
373,Student_373,67,55
374,Student_374,96,79
375,Student_375,85,88
376,Student_376,69,93
377,Student_377,93,74
378,Student_378,57,65
379,Student_379,65,99
380,Student_380,85,55
381,Student_381,95,50
382,Student_382,72,85
383,Student_383,94,52
384,Student_384,65,53
385,Student_385,54,75
386,Student_386,77,99
387,Student_387,93,52
388,Student_388,83,67
389,Student_389,73,74
390,Student_390,98,77
391,Student_391,74,72
392,Student_392,100,62
393,Student_393,76,78
394,Student_394,64,99
395,Student_395,60,98
396,Student_396,54,63
397,Student_397,97,88
398,Student_398,76,80
399,Student_399,84,99
400,Student_400,60,80
401,Student_401,98,100
402,Student_402,94,87
403,Student_403,83,61
404,Student_404,100,55
405,Student_405,95,59
406,Student_406,98,54
407,Student_407,98,51
408,Student_408,73,82
409,Student_409,55,92
410,Student_410,96,60
411,Student_411,71,89
412,Student_412,56,86
413,Student_413,68,96
414,Student_414,99,62
415,Student_415,62,61
416,Student_416,59,87
417,Student_417,88,83
418,Student_418,59,53
419,Student_419,62,70
420,Student_420,69,95
421,Student_421,98,63
422,Student_422,94,90
423,Student_423,53,61
424,Student_424,100,100
425,Student_425,50,60
426,Student_426,74,82
427,Student_427,74,86
428,Student_428,64,94
429,Student_429,61,92
430,Student_430,87,85
431,Student_431,73,66
432,Student_432,60,86
433,Student_433,60,83
434,Student_434,55,56
435,Student_435,97,80
436,Student_436,70,100
437,Student_437,90,58
438,Student_438,59,100
439,Student_439,65,75
440,Student_440,71,53
441,Student_441,64,90
442,Student_442,70,64
443,Student_443,83,88
444,Student_444,61,73
445,Student_445,74,76
446,Student_446,100,87
447,Student_447,86,66
448,Student_448,51,70
449,Student_449,97,100
450,Student_450,54,53
451,Student_451,58,74
452,Student_452,78,77
453,Student_453,82,53
454,Student_454,89,67
455,Student_455,63,96
456,Student_456,91,63
457,Student_457,52,50
458,Student_458,59,72
459,Student_459,82,70
460,Student_460,81,60
461,Student_461,80,85
462,Student_462,58,88
463,Student_463,54,91
464,Student_464,97,81
465,Student_465,70,99
466,Student_466,62,68
467,Student_467,91,90
468,Student_468,93,53
469,Student_469,58,82
470,Student_470,84,69
471,Student_471,75,97
472,Student_472,70,72
473,Student_473,71,50
474,Student_474,78,80
475,Student_475,99,84
476,Student_476,91,83
477,Student_477,54,88
478,Student_478,59,68
479,Student_479,62,92
480,Student_480,93,76
481,Student_481,82,93
482,Student_482,57,83
483,Student_483,72,69
484,Student_484,84,69
485,Student_485,53,70
486,Student_486,73,55
487,Student_487,98,96
488,Student_488,72,63
489,Student_489,95,91
490,Student_490,70,56
491,Student_491,87,94
492,Student_492,78,63
493,Student_493,51,72
494,Student_494,65,84
495,Student_495,66,85
496,Student_496,82,50
497,Student_497,65,96
498,Student_498,75,81
499,Student_499,90,55
500,Student_500,80,68
501,Student_501,85,91
502,Student_502,59,88
503,Student_503,89,65
504,Student_504,57,99
505,Student_505,85,91
506,Student_506,75,98
507,Student_507,86,62
508,Student_508,54,76
509,Student_509,77,59
510,Student_510,60,66
511,Student_511,94,66
512,Student_512,83,91
513,Student_513,69,51
514,Student_514,77,75
515,Student_515,63,88
516,Student_516,61,82
517,Student_517,95,89
518,Student_518,96,55
519,Student_519,73,95
520,Student_520,82,82
521,Student_521,97,79
522,Student_522,76,78
523,Student_523,98,63
524,Student_524,61,78
525,Student_525,93,68
526,Student_526,68,67
527,Student_527,81,65
528,Student_528,89,71
529,Student_529,70,81
530,Student_530,51,84
531,Student_531,81,74
532,Student_532,98,99
533,Student_533,51,72
534,Student_534,56,58
535,Student_535,82,87
536,Student_536,60,71
537,Student_537,62,93
538,Student_538,85,90
539,Student_539,69,81
540,Student_540,83,71
541,Student_541,68,79
542,Student_542,98,85
543,Student_543,66,87
544,Student_544,66,99
545,Student_545,54,93
546,Student_546,90,84
547,Student_547,86,64
548,Student_548,79,95
549,Student_549,69,82
550,Student_550,93,80
551,Student_551,67,56
552,Student_552,79,61
553,Student_553,52,88
554,Student_554,62,62
555,Student_555,75,67
556,Student_556,51,52
557,Student_557,56,99
558,Student_558,77,67
559,Student_559,68,87
560,Student_560,58,50
561,Student_561,91,86
562,Student_562,100,94
563,Student_563,88,73
564,Student_564,78,84
565,Student_565,81,86
566,Student_566,94,72
567,Student_567,53,90
568,Student_568,64,93
569,Student_569,85,98
570,Student_570,61,93
571,Student_571,51,100
572,Student_572,73,65
573,Student_573,70,82
574,Student_574,80,58
575,Student_575,89,62
576,Student_576,87,63
577,Student_577,68,58
578,Student_578,72,86
579,Student_579,91,82
580,Student_580,84,82
581,Student_581,99,57
582,Student_582,80,82
583,Student_583,52,82
584,Student_584,53,64
585,Student_585,89,66
586,Student_586,86,90
587,Student_587,50,61
588,Student_588,54,87
589,Student_589,67,65
590,Student_590,92,63
591,Student_591,94,56
592,Student_592,94,90
593,Student_593,67,76
594,Student_594,85,70
595,Student_595,59,99
596,Student_596,96,61
597,Student_597,57,52
598,Student_598,70,80
599,Student_599,82,74
600,Student_600,94,61
601,Student_601,55,68
602,Student_602,89,52
603,Student_603,96,72
604,Student_604,54,54
605,Student_605,79,88
606,Student_606,82,93
607,Student_607,61,62
608,Student_608,63,93
609,Student_609,96,68
610,Student_610,92,81
611,Student_611,50,53
612,Student_612,97,73
613,Student_613,70,76
614,Student_614,53,81
615,Student_615,59,72
616,Student_616,80,90
617,Student_617,65,78
618,Student_618,70,97
619,Student_619,65,88
620,Student_620,58,80
621,Student_621,59,69
622,Student_622,100,84
623,Student_623,58,57
624,Student_624,88,64
625,Student_625,80,53
626,Student_626,62,81
627,Student_627,87,58
628,Student_628,80,84
629,Student_629,98,54
630,Student_630,63,70
631,Student_631,63,81
632,Student_632,77,60
633,Student_633,58,70
634,Student_634,71,89
635,Student_635,95,62
636,Student_636,51,67
637,Student_637,96,84
638,Student_638,62,88
639,Student_639,82,65
640,Student_640,84,89
641,Student_641,51,78
642,Student_642,87,52
643,Student_643,72,97
644,Student_644,86,63
645,Student_645,80,57
646,Student_646,76,66
647,Student_647,72,81
648,Student_648,68,64
649,Student_649,96,64
650,Student_650,71,58
651,Student_651,56,84
652,Student_652,96,88
653,Student_653,78,99
654,Student_654,97,99
655,Student_655,57,80
656,Student_656,59,58
657,Student_657,85,98
658,Student_658,65,93
659,Student_659,98,91
660,Student_660,83,50
661,Student_661,99,75
662,Student_662,61,62
663,Student_663,68,55
664,Student_664,79,93
665,Student_665,74,71
666,Student_666,70,53
667,Student_667,62,74
668,Student_668,58,55
669,Student_669,92,91
670,Student_670,51,99
671,Student_671,99,97
672,Student_672,51,71
673,Student_673,57,79
674,Student_674,54,98
675,Student_675,53,73
676,Student_676,75,61
677,Student_677,70,66
678,Student_678,59,91
679,Student_679,79,67
680,Student_680,93,52
681,Student_681,95,97
682,Student_682,71,51
683,Student_683,96,72
684,Student_684,56,51
685,Student_685,69,94
686,Student_686,77,50
687,Student_687,83,80
688,Student_688,91,72
689,Student_689,82,100
690,Student_690,53,71
691,Student_691,58,77
692,Student_692,96,51
693,Student_693,54,87
694,Student_694,69,62
695,Student_695,90,86
696,Student_696,55,63
697,Student_697,92,58
698,Student_698,50,71
699,Student_699,99,56
700,Student_700,70,60
701,Student_701,56,59
702,Student_702,77,63
703,Student_703,50,57
704,Student_704,84,59
705,Student_705,53,99
706,Student_706,67,91
707,Student_707,72,94
708,Student_708,55,99
709,Student_709,64,100
710,Student_710,50,85
711,Student_711,83,74
712,Student_712,52,50
713,Student_713,80,98
714,Student_714,79,83
715,Student_715,92,55
716,Student_716,67,100
717,Student_717,76,77
718,Student_718,97,76
719,Student_719,96,80
720,Student_720,78,75
721,Student_721,64,85
722,Student_722,86,57
723,Student_723,66,82
724,Student_724,57,65
725,Student_725,59,85
726,Student_726,90,92
727,Student_727,84,60
728,Student_728,87,60
729,Student_729,77,71
730,Student_730,75,55
731,Student_731,90,83
732,Student_732,63,71
733,Student_733,52,80
734,Student_734,85,78
735,Student_735,66,59
736,Student_736,53,95
737,Student_737,100,69
738,Student_738,52,55
739,Student_739,75,85
740,Student_740,61,75
741,Student_741,69,75
742,Student_742,62,51
743,Student_743,52,53
744,Student_744,78,52
745,Student_745,82,99
746,Student_746,89,96
747,Student_747,54,67
748,Student_748,55,97
749,Student_749,93,98
750,Student_750,69,75
751,Student_751,72,71
752,Student_752,55,68
753,Student_753,90,96
754,Student_754,66,65
755,Student_755,98,93
756,Student_756,51,86
757,Student_757,96,64
758,Student_758,50,71
759,Student_759,79,59
760,Student_760,66,70
761,Student_761,80,72
762,Student_762,69,95
763,Student_763,88,77
764,Student_764,50,50
765,Student_765,66,68
766,Student_766,69,96
767,Student_767,74,94
768,Student_768,51,56
769,Student_769,82,56
770,Student_770,87,97
771,Student_771,67,50
772,Student_772,60,50
773,Student_773,65,64
774,Student_774,61,99
775,Student_775,82,91
776,Student_776,95,79
777,Student_777,74,84
778,Student_778,99,84
779,Student_779,91,83
780,Student_780,59,78
781,Student_781,87,81
782,Student_782,97,62
783,Student_783,77,74
784,Student_784,89,73
785,Student_785,76,79
786,Student_786,74,50
787,Student_787,91,51
788,Student_788,52,71
789,Student_789,80,52
790,Student_790,54,98
791,Student_791,100,76
792,Student_792,72,55
793,Student_793,51,92
794,Student_794,68,99
795,Student_795,98,99
796,Student_796,68,62
797,Student_797,70,62
798,Student_798,100,88
799,Student_799,92,62
800,Student_800,97,62
801,Student_801,51,89
802,Student_802,75,64
803,Student_803,95,58
804,Student_804,62,54
805,Student_805,50,99
806,Student_806,57,65
807,Student_807,50,71
808,Student_808,94,75
809,Student_809,59,52
810,Student_810,56,60
811,Student_811,98,96
812,Student_812,51,86
813,Student_813,55,79
814,Student_814,70,95
815,Student_815,89,56
816,Student_816,83,65
817,Student_817,80,71
818,Student_818,83,77
819,Student_819,77,64
820,Student_820,81,57
821,Student_821,64,100
822,Student_822,66,78
823,Student_823,64,80
824,Student_824,64,80
825,Student_825,78,58
826,Student_826,91,74
827,Student_827,60,83
828,Student_828,89,57
829,Student_829,73,93
830,Student_830,78,98
831,Student_831,73,76
832,Student_832,55,91
833,Student_833,87,68
834,Student_834,62,55
835,Student_835,77,65
836,Student_836,58,89
837,Student_837,77,76
838,Student_838,94,70
839,Student_839,51,90
840,Student_840,57,88
841,Student_841,79,54
842,Student_842,92,64
843,Student_843,80,72
844,Student_844,81,69
845,Student_845,88,59
846,Student_846,98,87
847,Student_847,94,97
848,Student_848,74,75
849,Student_849,61,65
850,Student_850,75,82
851,Student_851,92,84
852,Student_852,99,69
853,Student_853,78,58
854,Student_854,81,73
855,Student_855,62,98
856,Student_856,64,82
857,Student_857,93,82
858,Student_858,74,73
859,Student_859,56,59
860,Student_860,76,95
861,Student_861,68,91
862,Student_862,52,70
863,Student_863,80,56
864,Student_864,61,92
865,Student_865,71,85
866,Student_866,77,86
867,Student_867,61,62
868,Student_868,75,83
869,Student_869,86,69
870,Student_870,82,62
871,Student_871,53,55
872,Student_872,68,80
873,Student_873,53,52
874,Student_874,74,92
875,Student_875,78,82
876,Student_876,87,78
877,Student_877,51,71
878,Student_878,57,91
879,Student_879,63,100
880,Student_880,61,56
881,Student_881,57,59
882,Student_882,65,69
883,Student_883,77,80
884,Student_884,80,72
885,Student_885,89,71
886,Student_886,79,89
887,Student_887,78,75
888,Student_888,86,65
889,Student_889,56,68
890,Student_890,90,78
891,Student_891,81,95
892,Student_892,59,92
893,Student_893,99,65
894,Student_894,69,79
895,Student_895,59,71
896,Student_896,98,73
897,Student_897,72,67
898,Student_898,65,50
899,Student_899,63,85
900,Student_900,70,65
901,Student_901,72,88
902,Student_902,75,61
903,Student_903,75,65
904,Student_904,86,83
905,Student_905,86,52
906,Student_906,97,60
907,Student_907,87,60
908,Student_908,56,79
909,Student_909,88,56
910,Student_910,57,75
911,Student_911,82,69
912,Student_912,76,64
913,Student_913,60,98
914,Student_914,86,62
915,Student_915,63,83
916,Student_916,86,67
917,Student_917,57,53
918,Student_918,71,54
919,Student_919,69,72
920,Student_920,63,79
921,Student_921,58,58
922,Student_922,78,62
923,Student_923,52,99
924,Student_924,92,79
925,Student_925,90,61
926,Student_926,92,84
927,Student_927,87,94
928,Student_928,97,64
929,Student_929,67,76
930,Student_930,62,86
931,Student_931,90,79
932,Student_932,100,66
933,Student_933,76,89
934,Student_934,77,93
935,Student_935,97,55
936,Student_936,83,95
937,Student_937,96,78
938,Student_938,57,81
939,Student_939,56,93
940,Student_940,91,80
941,Student_941,71,83
942,Student_942,54,65
943,Student_943,58,80
944,Student_944,95,67
945,Student_945,51,95
946,Student_946,75,59
947,Student_947,79,83
948,Student_948,82,88
949,Student_949,90,81
950,Student_950,70,89
951,Student_951,89,93
952,Student_952,92,88
953,Student_953,90,99
954,Student_954,70,61
955,Student_955,94,100
956,Student_956,64,87
957,Student_957,58,86
958,Student_958,59,80
959,Student_959,92,69
960,Student_960,67,83
961,Student_961,68,90
962,Student_962,65,51
963,Student_963,61,89
964,Student_964,73,88
965,Student_965,51,91
966,Student_966,53,88
967,Student_967,71,57
968,Student_968,58,74
969,Student_969,87,94
970,Student_970,97,61
971,Student_971,92,66
972,Student_972,60,81
973,Student_973,82,59
974,Student_974,69,51
975,Student_975,88,94
976,Student_976,55,82
977,Student_977,69,56
978,Student_978,77,74
979,Student_979,72,52
980,Student_980,62,97
981,Student_981,67,65
982,Student_982,56,59
983,Student_983,78,97
984,Student_984,75,53
985,Student_985,97,94
986,Student_986,86,73
987,Student_987,51,62
988,Student_988,63,94
989,Student_989,95,94
990,Student_990,91,63
991,Student_991,86,60
992,Student_992,58,92
993,Student_993,56,55
994,Student_994,67,87
995,Student_995,81,59
996,Student_996,65,99
997,Student_997,73,98
998,Student_998,53,77
999,Student_999,65,54
1000,Student_1000,66,93
1001,Student_1001,51,98
1002,Student_1002,88,89
1003,Student_1003,93,74
1004,Student_1004,61,81
1005,Student_1005,56,62
1006,Student_1006,79,95
1007,Student_1007,65,87
1008,Student_1008,50,84
1009,Student_1009,97,74
1010,Student_1010,95,99
1011,Student_1011,71,82
1012,Student_1012,64,61
1013,Student_1013,76,96
1014,Student_1014,53,59
1015,Student_1015,95,69
1016,Student_1016,74,57
1017,Student_1017,68,67
1018,Student_1018,53,55
1019,Student_1019,78,62
1020,Student_1020,90,58
1021,Student_1021,50,57
1022,Student_1022,93,79
1023,Student_1023,96,94
1024,Student_1024,67,86
1025,Student_1025,81,66
1026,Student_1026,50,76
1027,Student_1027,78,63
1028,Student_1028,64,83
1029,Student_1029,97,52
1030,Student_1030,76,71
1031,Student_1031,64,96
1032,Student_1032,83,82
1033,Student_1033,100,100
1034,Student_1034,96,72
1035,Student_1035,57,85
1036,Student_1036,92,92
1037,Student_1037,57,98
1038,Student_1038,51,72
1039,Student_1039,86,94
1040,Student_1040,79,71
1041,Student_1041,81,95
1042,Student_1042,75,57
1043,Student_1043,54,85
1044,Student_1044,71,81
1045,Student_1045,54,63
1046,Student_1046,52,79
1047,Student_1047,98,67
1048,Student_1048,80,75
1049,Student_1049,93,52
1050,Student_1050,61,91
1051,Student_1051,73,65
1052,Student_1052,100,63
1053,Student_1053,86,100
1054,Student_1054,71,66
1055,Student_1055,74,89
1056,Student_1056,100,70
1057,Student_1057,90,73
1058,Student_1058,71,59
1059,Student_1059,78,82
1060,Student_1060,55,76
1061,Student_1061,50,83
1062,Student_1062,69,82
1063,Student_1063,97,88
1064,Student_1064,83,88
1065,Student_1065,87,86
1066,Student_1066,53,93
1067,Student_1067,92,56
1068,Student_1068,75,92
1069,Student_1069,77,57
1070,Student_1070,100,63
1071,Student_1071,96,85
1072,Student_1072,60,57
1073,Student_1073,86,87
1074,Student_1074,60,75
1075,Student_1075,100,78
1076,Student_1076,59,56
1077,Student_1077,58,92
1078,Student_1078,59,78
1079,Student_1079,82,87
1080,Student_1080,77,88
1081,Student_1081,77,84
1082,Student_1082,77,90
1083,Student_1083,60,96
1084,Student_1084,83,74
1085,Student_1085,100,93
1086,Student_1086,72,60
1087,Student_1087,74,73
1088,Student_1088,65,56
1089,Student_1089,83,72
1090,Student_1090,91,77
1091,Student_1091,61,75
1092,Student_1092,56,77
1093,Student_1093,70,71
1094,Student_1094,93,64
1095,Student_1095,81,67
1096,Student_1096,63,83
1097,Student_1097,57,68
1098,Student_1098,75,80
1099,Student_1099,55,95
1100,Student_1100,68,54
1101,Student_1101,60,53
1102,Student_1102,76,53
1103,Student_1103,77,75
1104,Student_1104,90,96
1105,Student_1105,91,86
1106,Student_1106,81,90
1107,Student_1107,86,67
1108,Student_1108,89,65
1109,Student_1109,55,60
1110,Student_1110,72,55
1111,Student_1111,54,58
1112,Student_1112,60,77
1113,Student_1113,62,71
1114,Student_1114,94,85
1115,Student_1115,63,67
1116,Student_1116,56,61
1117,Student_1117,65,84
1118,Student_1118,87,65
1119,Student_1119,55,61
1120,Student_1120,68,54
1121,Student_1121,97,78
1122,Student_1122,85,58
1123,Student_1123,87,60
1124,Student_1124,77,60
1125,Student_1125,96,93
1126,Student_1126,51,63
1127,Student_1127,65,86
1128,Student_1128,54,91
1129,Student_1129,71,66
1130,Student_1130,99,61
1131,Student_1131,55,93
1132,Student_1132,75,77
1133,Student_1133,58,69
1134,Student_1134,96,74
1135,Student_1135,88,63
1136,Student_1136,76,90
1137,Student_1137,99,100
1138,Student_1138,50,76
1139,Student_1139,73,77
1140,Student_1140,99,96
1141,Student_1141,61,91
1142,Student_1142,56,87
1143,Student_1143,91,85
1144,Student_1144,84,54
1145,Student_1145,77,53
1146,Student_1146,83,83
1147,Student_1147,67,74
1148,Student_1148,70,58
1149,Student_1149,59,96
1150,Student_1150,78,52
1151,Student_1151,80,87
1152,Student_1152,67,90
1153,Student_1153,63,57
1154,Student_1154,100,50
1155,Student_1155,80,96
1156,Student_1156,70,67
1157,Student_1157,75,87
1158,Student_1158,76,61
1159,Student_1159,75,75
1160,Student_1160,66,74
1161,Student_1161,63,50
1162,Student_1162,70,82
1163,Student_1163,95,98
1164,Student_1164,70,65
1165,Student_1165,65,63
1166,Student_1166,54,92
1167,Student_1167,85,59
1168,Student_1168,66,89
1169,Student_1169,61,64
1170,Student_1170,55,91
1171,Student_1171,86,89
1172,Student_1172,58,87
1173,Student_1173,87,55
1174,Student_1174,93,74
1175,Student_1175,52,66
1176,Student_1176,90,54
1177,Student_1177,96,67
1178,Student_1178,56,74
1179,Student_1179,50,66
1180,Student_1180,54,65
1181,Student_1181,88,80
1182,Student_1182,62,58
1183,Student_1183,74,100
1184,Student_1184,50,93
1185,Student_1185,70,91
1186,Student_1186,54,58
1187,Student_1187,82,84
1188,Student_1188,99,53
1189,Student_1189,83,72
1190,Student_1190,73,60
1191,Student_1191,50,88
1192,Student_1192,81,59
1193,Student_1193,61,86
1194,Student_1194,55,75
1195,Student_1195,87,70
1196,Student_1196,70,51
1197,Student_1197,89,97
1198,Student_1198,55,58
1199,Student_1199,83,96
1200,Student_1200,78,86
1201,Student_1201,86,78
1202,Student_1202,66,73
1203,Student_1203,93,94
1204,Student_1204,94,61
1205,Student_1205,87,90
1206,Student_1206,66,94
1207,Student_1207,72,96
1208,Student_1208,99,64
1209,Student_1209,62,50
1210,Student_1210,86,60
1211,Student_1211,67,76
1212,Student_1212,79,69
1213,Student_1213,100,98
1214,Student_1214,76,54
1215,Student_1215,70,90
1216,Student_1216,85,75
1217,Student_1217,95,76
1218,Student_1218,78,61
1219,Student_1219,51,62
1220,Student_1220,81,78
1221,Student_1221,82,61
1222,Student_1222,92,76
1223,Student_1223,94,50
1224,Student_1224,61,89
1225,Student_1225,92,61
1226,Student_1226,99,60
1227,Student_1227,77,60
1228,Student_1228,58,99
